BscScan Link,Transaction Hash,From Address,To Address,Amount,Block Number,Transaction Index,From Address Dollar Value Change,To Address Dollar Value Change,Comment
https://bscscan.com/tx/0x65ed0d67b318602b72a7b88d5628455956c89f09c3654e4b229fed710f3d1090,0x65ed0d67b318602b72a7b88d5628455956c89f09c3654e4b229fed710f3d1090,0xec30da6361905b8f3e4a93513d937db992301276,0x30f96ad4856d7e699963b589591f03710976a6e8,163130439000000000000,22732748,43,0,0,Internal LP transfer
https://bscscan.com/tx/0x65ed0d67b318602b72a7b88d5628455956c89f09c3654e4b229fed710f3d1090,0x65ed0d67b318602b72a7b88d5628455956c89f09c3654e4b229fed710f3d1090,0x30f96ad4856d7e699963b589591f03710976a6e8,0x21376916d9dacb5550aa55c32d4265fd2fa1ba25,16313000000000000,22732748,43,0,16313000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xca14554cd55836bf8b92d9e164cca068ad566b3a0954d83d8fda5af83defb878,0xca14554cd55836bf8b92d9e164cca068ad566b3a0954d83d8fda5af83defb878,0x377ac2a3ada0952e54f538e51865dfc5fabcaed7,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,794734220000000000000,22732780,113,-350746390356035587477,0,Sold USD+
https://bscscan.com/tx/0xca14554cd55836bf8b92d9e164cca068ad566b3a0954d83d8fda5af83defb878,0xca14554cd55836bf8b92d9e164cca068ad566b3a0954d83d8fda5af83defb878,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,79473000000000000,22732780,113,0,79473000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x619213d09ba1647f4b2b114449deff0c1516b20f1253963895988b2ea3f387ca,0x619213d09ba1647f4b2b114449deff0c1516b20f1253963895988b2ea3f387ca,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0x261be9ce37493d51686a89c4053116804e5502d0,455007317000000000000,22732802,63,0,200000000000000000000,Bought USD+
https://bscscan.com/tx/0x637b9ae565f72f422c2ea0e3e2e6b48d8253d2d7115619760e6b6ca25deb754e,0x637b9ae565f72f422c2ea0e3e2e6b48d8253d2d7115619760e6b6ca25deb754e,0x261be9ce37493d51686a89c4053116804e5502d0,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,455007317000000000000,22732811,151,-233536957460873510127,0,Sold USD+
https://bscscan.com/tx/0x637b9ae565f72f422c2ea0e3e2e6b48d8253d2d7115619760e6b6ca25deb754e,0x637b9ae565f72f422c2ea0e3e2e6b48d8253d2d7115619760e6b6ca25deb754e,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,227503000000000000,22732811,151,0,227503000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x3a6aefc6a0cd3a3fc42b72e5d518a9ab69110dac17b03a3e6e301a5ecd592f68,0x3a6aefc6a0cd3a3fc42b72e5d518a9ab69110dac17b03a3e6e301a5ecd592f68,0x7754d8b057cc1d2d857d897461dac6c3235b4aae,0xec30da6361905b8f3e4a93513d937db992301276,1000000000000000000,22732839,99,-443676644420000000,0,Sold USD+
https://bscscan.com/tx/0x3a6aefc6a0cd3a3fc42b72e5d518a9ab69110dac17b03a3e6e301a5ecd592f68,0x3a6aefc6a0cd3a3fc42b72e5d518a9ab69110dac17b03a3e6e301a5ecd592f68,0xec30da6361905b8f3e4a93513d937db992301276,0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,500000000000000,22732839,99,0,500000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0xad343a3e76eaa377dd34973ab4627d01c69f1e4e730948048325a1c919c30a7f,0x7754d8b057cc1d2d857d897461dac6c3235b4aae,0x2c74bb17142fc5ed2056d32515b3b08135cb044e,30971662486000000000000,22732887,53,-10121814464051855692547,0,Sold USD+
