Address,Amount
0x17e743abdf2a34018189dc63f46cac67cfe984ea,$70.25
0x0e641daab37e1687264ac04f863e380b92a5e4d1,$0.0
0xe066da3d20735948ffcd9d584d5918a51a1f9f6c,$83.42
0x6ed730d28f03ff5a4d4ab011c5c1c2ce5503a2db,$5.0
0x226bd43a2f91870f1cc0ff247ddcad09e0f008ab,$3.52
0x593959c4f2b58d4cb843cfdbe76bc3627f134180,$0.0
0xea4a47a5bfc7580f02861deb22da0e0cb6aea4ef,$0.0
0x3cbd9044aaabef08ce93a68448e093cff405ad76,$1.43
0x0d4584842d7ef0133c968020e1ec4f463b0f2d23,$0.0
0x377ac2a3ada0952e54f538e51865dfc5fabcaed7,$443.99
0xf18234cddc3290868f510c13db0c48eda820a8df,$0.09
0xaf1fbd7bd5d6e9d92606fec998f05bd42c3df4bc,$70.97
0xefd8db062b1eb51a6d905d49d64efaaa353961a5,$6.18
0x9d08673ca342dc781980c61528c91e99fe21db1d,$42.49
0xd1e91541444e577a5cba3fcc0d151c01e74d4d6b,$2.35
0x5dc4160dfc71c12d8f264c1aa723b2e66ab15af5,$2.22
0xd421b58af6e1ddec7d0c0c3acee67eded59fae84,$0.63
0x5664010afc718cf8ecfd712574ccbfe83924148f,$47.63
0x6599228bdab6695dce0d51881f205b9aaed31e34,$97.59
0x9edb033a65a077819e07e0ee03188b5b671c303c,$5651.05
0xfd1dfa1a323cc3b66a1fe525c0345eb4799243f8,$1701.94
0x954b53bba4da95537738c6bb7f6fc17e24aa0f54,$68936.17
0x513772b03a3b5774387042905b7b8f489002cc78,$0.8
0x95cf5354519a6ad2bd7e53fe7763201dfb24bfe4,$101.86
0xbadaaaf7f5d6cfaa1e69b87e4698442bb0689b67,$1335.11
0x84baea60a28de41ee321dfb27329d0aad9093d2e,$0.02
0x5431bd9c2fa85786b75b94de879d4c473971be35,$0.0
0x8feee4c2509b14b75adcdc89b88deb7baf4b4f2a,$0.0
0xdd3bf3a100b594e72265ce19078bec9996d049fa,$16.85
0xf99e95067725272eb50420cc3706e3035d5369ec,$85.0
0xea9d3e561069ebba25a48caeb18d8761a8082c89,$0.0
